Participant ID,sex,Filename,DD_mean,DS_mean,SS_mean,DD_median,DS_median,SS_median,Overall_mean,Overall_median,DD_DS_combined_mean
162,female,162_jrd.csv,32.82332065625,54.068906875,37.35900898125,18.84715,47.21566,24.407965,39.2686392921875,34.21651,39.90518272916666
163,female,163_jrd.csv,15.70821770625,20.941847075,21.7596303125,14.273885,19.474445000000003,18.110135,18.5294782,17.25399,17.452760829166667
164,female,164_jrd.csv,49.71189253125,48.3677569375,33.191121125,47.146805,31.110945,24.492795,45.24566578125,32.12384,49.26384733333333
165,female,165_jrd.csv,90.17566690625,85.5404731875,87.30829,96.673345,90.969155,91.721395,88.30002425,94.74041,88.63060233333333
167,male,167_jrd.csv,28.50275303125,34.63751939375,33.516773676875005,20.654515,25.208925,25.88351,31.289949783281244,22.188035,30.547675152083333
168,female,168_jrd.csv,24.2312851846875,32.5989059375,20.42569065625,13.833325,25.981074999999997,11.132945,25.37179174078125,14.470435,27.020492102291666
169,female,169_jrd.csv,62.99204269375,70.0637591125,58.8850521875,52.019455,49.64689,49.5308,63.733224171874994,49.5308,65.3492815
171,female,171_jrd.csv,36.8222449375,27.37218375,48.425658125,26.94248,18.483195,34.74237,37.3605829375,23.697185,33.672224541666665
174,male,174_jrd.csv,40.632032459375,38.032793125,43.8567216875,28.12265,36.027705,24.740775,40.788394932812494,29.176785,39.76561934791666
175,female,175_jrd.csv,61.11606156250001,57.2317813125,76.3853275,45.0,51.36234999999999,64.96289999999999,63.962307984375,45.45073000000001,59.82130147916666
176,female,176_jrd.csv,30.0551251375,13.1661983125,18.8200698125,24.414720000000003,9.4554435,13.3366,23.0241296,17.98901,24.4254828625
177,male,177_jrd.csv,17.702210090624998,25.745324525,15.328981,14.15135,17.6286,14.290455,19.1196814265625,14.814485,20.38324823541667
178,male,178_jrd.csv,66.99859633125,50.8396128125,47.1037510625,64.03790000000001,29.70097,26.57824,57.98513913437499,45.32491999999999,61.61226849166667
179,female,179_jrd.csv,76.59224009375001,68.113265,77.813645625,85.37715,61.082595,80.595965,74.777847703125,79.223815,73.76591506250001
180,female,180_jrd.csv,41.330251459375,25.249095312500003,37.046903625,14.95982,16.29717,26.6897,36.2391254640625,19.057435,35.96986607708333
181,female,181_jrd.csv,44.198824343750005,42.37584475,46.5732493125,22.766785,26.574245,39.73973,44.3366856875,27.228395,43.59116447916667
182,male,182_jrd.csv,85.81619915625,85.78848675,73.780829125,83.85616999999999,92.840655,80.36918499999999,82.800428546875,83.85616999999999,85.8069616875
184,female,184_jrd.csv,63.39244921875,61.85381225,59.9244924375,52.93438999999999,54.2226,60.90609500000001,62.14080078124999,58.14584,62.87957022916667
186,female,186_jrd.csv,59.11330565625,67.0464776875,65.923829125,45.0,53.15191000000001,42.189845000000005,62.79922953125,45.22385,61.757696333333335
187,female,187_jrd.csv,17.99860630625,24.1973193125,26.34733605,13.80496,19.22685,14.15367,21.63546699375,15.242285,20.064843975
188,female,188_jrd.csv,62.25892646875,42.103503625,45.138193625,57.598915000000005,31.04277,28.883250000000004,52.939887546875,46.94593,55.5404521875
189,male,189_jrd.csv,20.02404003125,28.1354435625,25.3449075,18.958955,27.434115,21.0692,23.38210778125,21.17186,22.72784120833333
190,female,190_jrd.csv,56.90755209375,63.319595812500005,39.592790408125,48.92930000000001,69.90445000000003,19.084795,54.18187260203125,45.0,59.044900000000005
191,female,191_jrd.csv,15.610464971875,13.9215404375,24.8850915125,12.65732,10.267615,27.29616,17.5068904734375,13.38232,15.04749012708333
193,female,193_jrd.csv,87.066117346875,74.512030125,94.366774375,80.30138000000001,69.38174000000001,104.3012,85.7527597984375,79.88573000000001,82.88142160625
194,male,194_jrd.csv,16.013442384375,22.3414405625,16.05399675,15.450175000000002,16.82113,14.54193,17.6055805203125,16.168195,18.12277511041667
195,male,195_jrd.csv,29.251650846875,35.47239866875,23.941185803125,16.056175,18.228695,11.894453,29.479221541406247,15.504175,31.325233454166668
196,female,196_jrd.csv,27.519343365625,22.941592125,33.38791425,23.289235,19.031755,34.340915,27.842048276562497,26.001565,25.99342628541667
197,female,197_jrd.csv,92.197714375,101.7261828125,90.723189875,88.177995,116.6276,97.54105,94.211200359375,92.44085,95.37387052083334
